FG%,ORB,DRB,TRB,PTS
.495,9.4,35.0,44.4,115.9
.462,10.9,33.5,44.4,115.3
.469,11.8,34.6,46.4,111.7
.470,9.3,34.4,43.7,110.3
.475,10.3,32.6,42.9,109.2
.475,9.0,34.0,43.0,108.7
.454,9.1,32.9,42.0,108.0
.459,10.1,33.5,43.7,107.9
.450,11.9,33.1,45.0,107.7
.464,10.6,32.6,43.3,106.9
.452,12.2,34.4,46.6,106.6
.444,8.8,35.1,43.9,105.8
.467,11.4,31.0,42.4,105.6
.469,10.0,33.9,43.9,105.3
.465,9.0,33.0,42.0,105.1
.442,8.8,34.8,43.6,104.9
.450,11.4,32.1,43.5,104.6
.450,8.6,35.1,43.7,104.3
.447,12.0,33.2,45.2,104.3
.474,8.8,31.6,40.4,103.6
.455,10.6,33.0,43.6,103.2
.451,10.3,34.1,44.3,103.2
.444,12.2,34.1,46.3,102.9
.461,8.7,32.3,41.1,102.8
.442,9.8,33.0,42.8,102.4
.449,11.1,34.6,45.7,101.3
.440,9.8,33.3,43.2,101.1
.466,9.4,33.8,43.2,100.7
.435,10.8,32.0,42.8,100.5
.440,7.9,30.7,38.6,97.9
.457,10.1,33.4,43.5,105.6